type,week,round,responses
Demographics,1,1,36
Demographics,1,2,31
IPIP,2,1,32
BREQ-2,2,1,35
BREQ-2,9,1,23
PANAS,2,1,24
PANAS,3,1,20
PANAS,4,1,12
PANAS,5,1,20
PANAS,6,1,20
PANAS,7,1,16
PANAS,8,1,16
PANAS,9,1,41
STAI,2,1,25
STAI,3,1,21
STAI,4,1,13
STAI,5,1,20
STAI,6,1,20
STAI,7,1,15
STAI,8,1,17
STAI,9,1,42
TTM,2,1,34
TTM,9,1,23
IPIP,2,2,20
BREQ-2,2,2,21
BREQ-2,9,2,17
PANAS,2,2,18
PANAS,3,2,10
PANAS,4,2,12
PANAS,5,2,12
PANAS,6,2,14
PANAS,7,2,11
PANAS,8,2,16
PANAS,9,2,16
STAI,2,2,17
STAI,3,2,10
STAI,4,2,13
STAI,5,2,12
STAI,6,2,16
STAI,7,2,14
STAI,8,2,18
STAI,9,2,16
TTM,2,2,22
TTM,9,2,19
